title,price,description,stockQuantity,imageUrl,dateAddedToStock,dateRemovedFromStock
Portable Air Purifier,565.2,Compact air purifier to improve indoor air quality.,669,http://dummyimage.com/238x100.png/5fa2dd/ffffff,16-05-2023,
Golf Polo Shirt,626.91,Breathable polo shirt designed for both style and comfort on the greens.,616,http://dummyimage.com/160x100.png/dddddd/000000,23-11-2020,
Pumpkin Spice Coffee,178.99,"Coffee blend infused with pumpkin spice, perfect for fall.",637,http://dummyimage.com/155x100.png/ff4444/ffffff,17-03-2022,
Organic Granola,224.16,Healthy granola made with oats and honey.,859,http://dummyimage.com/100x100.png/5fa2dd/ffffff,11-12-2022,
Coloring Books for Adults,437.67,Intricate designs for adults to relax and unwind.,214,http://dummyimage.com/219x100.png/5fa2dd/ffffff,11-11-2022,
Sliced Cucumbers,453.49,"Freshly sliced cucumbers, great for salads or snacking.",276,http://dummyimage.com/117x100.png/cc0000/ffffff,17-04-2021,
Pear and Gorgonzola Salad,609.04,"Fresh salad with pears, gorgonzola cheese, and nuts, perfect for lunch.",48,http://dummyimage.com/230x100.png/cc0000/ffffff,21-12-2020,
Chocolate Mint Protein Shake,573.02,A nutritious shake with rich chocolate and refreshing mint flavors.,964,http://dummyimage.com/235x100.png/cc0000/ffffff,08-02-2025,08-04-2025
Hiking Boots,435.35,Comfortable hiking boots for outdoor adventures.,794,http://dummyimage.com/169x100.png/5fa2dd/ffffff,07-03-2025,
Fruit Infuser Water Bottle,109.33,Water bottle designed to infuse flavors from fruits.,397,http://dummyimage.com/193x100.png/ff4444/ffffff,25-08-2023,
Raspberry Tart,413.82,A delicious tart filled with fresh raspberry filling.,659,http://dummyimage.com/154x100.png/ff4444/ffffff,04-06-2023,
Hair Dryer,854.94,Compact hair dryer with multiple heat settings.,25,http://dummyimage.com/185x100.png/5fa2dd/ffffff,18-08-2024,
Peach Salsa,782.06,Sweet and spicy salsa made with fresh peaches.,566,http://dummyimage.com/230x100.png/cc0000/ffffff,10-12-2022,
Brazil Nuts,6.06,"Rich in selenium, perfect for snacking or baking.",186,http://dummyimage.com/160x100.png/cc0000/ffffff,10-04-2024,
Mechanical Keyboard,191.32,High-performance mechanical keyboard with customizable RGB.,496,http://dummyimage.com/165x100.png/ff4444/ffffff,03-04-2022,
Plant-Based Cookbook,915.07,Delicious recipes focusing on plant-based ingredients.,795,http://dummyimage.com/120x100.png/dddddd/000000,06-10-2021,
Raisin Cinnamon Granola,368.01,Crunchy granola with raisins and cinnamon for a delightful breakfast.,837,http://dummyimage.com/148x100.png/ff4444/ffffff,02-01-2024,
Caramelized Onion Dip,245.27,"Creamy dip made with caramelized onions, perfect for chips or veggies.",484,http://dummyimage.com/225x100.png/5fa2dd/ffffff,13-02-2022,
Herb Drying Rack,545.64,Mesh drying rack for preserving herbs and flowers.,763,http://dummyimage.com/226x100.png/dddddd/000000,23-03-2025,
Handheld Vacuum,311.52,Cordless handheld vacuum for quick cleanups.,746,http://dummyimage.com/138x100.png/cc0000/ffffff,20-03-2022,
Puzzle Mat,762.21,Foldable mat for jigsaw puzzle assembly.,293,http://dummyimage.com/169x100.png/cc0000/ffffff,22-02-2025,
Mint Chocolate Chip Ice Cream,581.0,Creamy ice cream with refreshing mint flavor and chocolate chips.,732,http://dummyimage.com/227x100.png/ff4444/ffffff,02-09-2020,
Toy Building Set,353.56,Creative building set for kids to spark imagination.,103,http://dummyimage.com/244x100.png/dddddd/000000,26-06-2020,
